step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
85,2.095183357885917,0.365063394826243,,,0.28783435585273764,0.0014701887572599048,0.8212890625,9.05859375,8.181640625,7127.873046875,57.842578125,7127.873046875,,863.0396270009223,4.420875146053731,10546.202099275324
86,2.182372405054557,0.3941252887288737,,,0.2936668693557749,0.0014314557160162167,0.798144519329071,8.9189453125,8.017578125,7702.431640625,65.398958984375,7702.431640625,,810.4715651818551,3.160841602133587,11089.702669834356
87,2.136238663093359,0.37874665536306396,,,0.28790931174125944,0.0014604129598616566,0.7826171517372131,8.6396484375,7.748046875,6801.8740234375,53.1468896484375,6801.8740234375,,785.5802127670031,3.5980183130595833,10169.2119449409
88,2.134352532759415,0.37811839034029104,,,0.30040837870728865,0.0014873904431169649,0.798828125,8.7373046875,7.828125,6896.140625,55.13795703125,6896.140625,,791.0882952290121,4.555856076069176,10201.024735753432
89,2.1822889049450733,0.3940973866450058,,,0.30500899247408597,0.001470527689548362,0.787304699420929,8.2451171875,7.318359375,6714.828125,52.9730166015625,6714.828125,,783.9290797661524,3.9560321429744363,10132.114343068011
90,2.111459217608462,0.37048721934023565,,0.8354166746139526,0.27733936769527645,0.0014189164829012668,0.876269519329071,8.14453125,7.2109375,6630.3818359375,49.4161328125,6630.3818359375,172.36132083507255,1084.5769379008561,3.770874870941043,9874.103618703308
91,2.021328905876544,0.34044555819494254,,,0.2896781958615975,0.0014608721332010077,0.813281238079071,8.5390625,7.6142578125,7639.533203125,61.3725068359375,7639.533203125,,812.3786932420917,4.0986133210826665,10936.150423440464
92,2.1315206289000623,0.37717452123747286,,,0.27922539999235596,0.0013785502757599488,0.8236327767372131,8.40625,7.4716796875,7523.4296875,60.219283203125,7523.4296875,,807.5402714938391,3.5423113128636032,10855.696156866848
93,2.1117282738941023,0.3705783350625324,,,0.29885408339919195,0.0014961218188744851,0.8366210460662842,8.0205078125,7.078125,7207.09765625,58.75823828125,7207.09765625,,807.0233431521337,3.797062396304682,10344.017993421501
94,2.0947345255554772,0.3649135395083402,,,0.29667450884608115,0.0014493983525092347,0.8312499523162842,8.4248046875,7.494140625,7302.134765625,59.2508779296875,7302.134765625,,812.5877323201858,5.1400903151370585,10489.489178450687
95,2.136762747058282,0.3789214640602027,,,0.2945342977764085,0.0015227643538793245,0.8316406011581421,8.064453125,7.119140625,7681.615234375,64.8228662109375,7681.615234375,,874.4580499271397,4.3232703630346805,10870.7010838292
96,2.0306943182226957,0.34356527071688964,,,0.28580481067911023,0.001503121850383593,0.8329101800918579,7.98828125,7.029296875,7391.5166015625,59.838658203125,7391.5166015625,,802.1350623550825,4.774698957102373,10646.240401115543
97,2.1168057418322057,0.3722691452241881,,,0.29618925549402775,0.0016196879317931234,0.8087890148162842,8.5625,7.6328125,7090.11328125,57.107298828124996,7090.11328125,,810.3654019199312,4.1780621039215475,10341.229347105997
98,2.0833193855493986,0.36110820751010964,,,0.2780439560083323,0.0014876703334749664,0.7676757574081421,8.3955078125,7.45703125,7798,65.361484375,7798,,820.0860668709502,4.030933604110032,11003.434315431234
99,2.1612633737403497,0.38708847731262475,,,0.2953623394305396,0.0015347526593387784,0.8292968273162842,8.3369140625,7.3935546875,8564.0908203125,74.00108203125,8564.0908203125,,880.8787587289698,3.579920413903892,12102.740528037426
100,2.114434840618542,0.371479365345977,,0.8187500238418579,0.28366939778288724,0.001626183882621035,0.840624988079071,8.1796875,7.259765625,6938.208984375,54.9612880859375,6938.208984375,179.18461682810448,1072.750907379901,2.6287150029093027,10106.341200350036
101,1.9532438815407724,0.3177500426496324,,,0.30302936153339033,0.0014595145940212717,0.8623046278953552,7.6826171875,6.7197265625,7545.8955078125,62.044798828125,7545.8955078125,,796.0975203220733,3.8529007849283516,10937.315238159556
102,2.142826897154432,0.38094325920952465,,,0.2998371927187691,0.0014598645708048252,0.7986327409744263,8.1279296875,7.181640625,8365.431640625,72.1253369140625,8365.431640625,,806.1757386648096,4.339645727770403,11829.140709908159
103,2.061987341753901,0.3539993817719818,,,0.28142417799972463,0.0014457412304906825,0.865429699420929,7.6201171875,6.6533203125,7268.265625,58.618982421875,7268.265625,,808.2151723408606,4.470440779812634,10419.356218727427
104,2.136943518902357,0.3789816025102109,,,0.2873995585268858,0.0014232587353717463,0.8424804210662842,8.224609375,7.26953125,8465.6376953125,72.2911611328125,8465.6376953125,,811.0642389750574,5.487524593714625,12004.584543652161
105,2.0373487735139344,0.34578420044756764,,,0.2876694032465821,0.0014563985714701744,0.8229491710662842,7.86328125,6.935546875,7503.84765625,60.6553388671875,7503.84765625,,873.9004366609734,4.570337841752917,10728.84928522438
106,2.011393239739764,0.33713301490031217,,,0.3237511034471936,0.0015468145079395867,0.8205077648162842,7.927734375,6.974609375,8685.212890625,75.1839462890625,8685.212890625,,807.0209854040295,4.471210459014401,12248.177237963075
107,2.105434203390815,0.3684793209243532,,,0.28213046430118993,0.0014805575605976173,0.8189453482627869,7.6337890625,6.6728515625,7738.3798828125,63.2996787109375,7738.3798828125,,806.0811003418639,5.060507181799039,11052.248106664529
108,2.08410480189334,0.36136946811870885,,,0.2852663521271097,0.0015137513019496396,0.8583008050918579,7.822265625,6.84375,8129.1533203125,68.898087890625,8129.1533203125,,813.1617100220174,4.917555118910968,11491.407089316059
109,2.100839406845874,0.36694842929245036,,,0.2969425720352774,0.001567464313268374,0.8565429449081421,8.0849609375,7.1220703125,7859.7275390625,66.7729345703125,7859.7275390625,,814.8655853238888,4.74715393409133,11122.413379110736
110,2.092145920246682,0.36405057080298203,,0.8541666865348816,0.30408453625113907,0.0016412788200739215,0.8733397722244263,8.2333984375,7.2724609375,7777.7265625,65.4074189453125,7777.7265625,200.08491061115637,1111.249865157064,5.627569735981524,11037.90550811109
111,1.9586855702099233,0.3195637065337486,,,0.29694821237558244,0.001648219322216704,0.8760741949081421,8.078125,7.111328125,8064.3330078125,69.7321015625,8064.3330078125,,805.8133240509778,3.676856297068298,11604.344109573674
112,2.0632875800330437,0.3544319014486095,,,0.2849167146282525,0.0014233405487900086,0.8182617425918579,8.5322265625,7.6103515625,8126.314453125,67.8483251953125,8126.314453125,,813.1916477240156,4.111134091857821,11564.19881635987
113,2.0566973442922167,0.3522346314108601,,,0.2999517445291531,0.0014713104853321113,0.821093738079071,8.3935546875,7.4560546875,8230.4482421875,70.9433974609375,8230.4482421875,,873.0812137550674,4.520828706910834,11690.851811352091
114,2.076308181117495,0.3587719237791113,,,0.3023223001982842,0.0014956677944368835,0.8511718511581421,8.4697265625,7.5048828125,8718.4560546875,77.6774189453125,8718.4560546875,,820.9531740550883,3.051962395897135,12300.591153280584
115,2.0502990681313964,0.350101302586789,,,0.29438542760567543,0.0014966809747107845,0.8414062261581421,8.3974609375,7.4541015625,8441.021484375,73.29218359375,8441.021484375,,875.217711144127,4.478544936981052,12188.533620488763
116,1.9420977051835775,0.3140349924165505,,,0.2968215809364665,0.0014682359775548548,0.8685545921325684,8.5791015625,7.640625,8810.392578125,79.237240234375,8810.392578125,,821.6306124031544,4.1103137717582285,12275.95389321042
117,2.156374368804345,0.38545906338223446,,,0.3066530971350403,0.0015075375776660849,0.808789074420929,8.5869140625,7.642578125,8845.1982421875,79.9879765625,8845.1982421875,,828.4573231970426,4.14055693289265,12205.838815371277
118,2.0802871655969275,0.3600983886903881,,,0.2682542894835933,0.0014088983282150025,0.8729491829872131,8.208984375,7.259765625,7542.953125,61.93079296875,7542.953125,,814.4410753399134,3.9102686159312725,10666.182228842228
