step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/math_code_harbor_agent/num_model_calls/mean,train/vllm/request_decode_time_mean_s,train/vllm/request_prefill_time_mean_s,train/vllm/request_queue_time_mean_s,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
46,1,0,,,0.3157368704323744,0.0015007941094999921,0.8175780773162842,3.2255859375,2.2294921875,6166.5107421875,76.916166015625,3.2255859375,24.547189857425252,0.03269857531256964,4.174797833266278e-06,6166.5107421875,,344.32544584199786,33.340992142912,20230.93443265644
47,1,0,,,0.31485415427187036,0.0015526467680757605,0.7116210460662842,3.6328125,2.642578125,6920.2490234375,90.0058525390625,3.6328125,19.635619466977914,0.03442786971635009,4.381252503457279e-06,6920.2490234375,,354.688404932851,1.6890711288433522,21900.088797042394
48,1,0,,,0.29227932864296235,0.0015640533453336047,0.7720702886581421,3.8369140625,2.8623046875,6037.62109375,76.23552734375001,3.8369140625,20.629032486778648,0.03279716940420694,4.3285010658108e-06,6037.62109375,,369.62966418103315,61.24072727095336,18647.05816696426
49,1,0,,,0.2942432437369007,0.0015906585028737652,0.69677734375,3.6171875,2.630859375,6010.47265625,75.3976064453125,3.6171875,21.434051763836756,0.033497105819040675,2.0019811086256354e-05,6010.47265625,,382.78726331098005,75.03621024428867,17781.39458422826
50,1,0,,0.7604166865348816,0.3115756691813658,0.001736120028759558,0.75634765625,3.7001953125,2.705078125,6226.0927734375,80.1142978515625,3.7001953125,17.705157310770737,0.03187620690610777,1.967634675320439e-05,6226.0927734375,211.84449343499728,641.7257020499092,20.05850319797173,21138.09153574838
51,1,0,,,0.2741373448939157,0.001698773837375711,0.7544921636581421,3.798828125,2.8037109375,5539.767578125,68.0563818359375,3.80078125,14.688893476111568,0.03909553394968426,5.284867124265512e-06,5539.767578125,,284.7241285140626,5.666160883847624,22409.11028854869
52,1,0,,,0.29618920356369927,0.0014043577301521282,0.7777343392372131,4.435546875,3.4462890625,5218.87890625,61.6250146484375,4.4365234375,17.743900034639047,0.037119013009670986,5.01585661118789e-06,5218.87890625,,379.62604600097984,99.18433098192327,16012.769352994681
53,1,0,,,0.30168766651286205,0.0014305432067871493,0.783203125,4.40234375,3.41796875,6139.5927734375,79.1435927734375,4.40234375,15.363461068720737,0.03071806958875382,4.2118754326680355e-06,6139.5927734375,,381.7687099450268,67.87832318409346,18446.599724675954
54,1,0,,,0.29050306174030993,0.0014030539626261884,0.8136718273162842,4.6708984375,3.69921875,5902.28515625,72.74275390625,4.6708984375,16.66482864659296,0.03169489219265189,4.179495962247187e-06,5902.28515625,,365.1671426331159,61.33863130910322,18581.579769511856
55,1,0,,,0.30213193842155306,0.0014696759101653356,0.7861328125,4.47265625,3.4951171875,6046.85546875,75.50351171875,4.47265625,18.435233587260882,0.03149787658662262,4.21785469262702e-06,6046.85546875,,430.51143017201684,62.49748687027022,18600.493069491542
